gene_ID,Log2FC,padj
OVALY,2.665025386,0.006023744
TMC7,2.664916916,2.78E-08
THL,2.664116498,0.017927688
SPON1,2.662071401,0.001542686
LOC107055362,2.65768523,1.55E-05
TMEM132D,2.654320822,7.61E-08
LOC427369,2.654308058,4.25E-08
PCASP2,2.653644301,1.46E-16
FMNL1,2.647921382,1.51E-14
CYP26A1,2.646994007,0.000136563
PPARGC1B,2.645886105,3.72E-12
TFCP2L1,2.64560965,2.17E-17
GIMAP7L6,2.641936751,2.41E-06
ACCSL,2.637158066,7.65E-07
FST,2.629047437,3.57E-07
SLC9B2,2.625668223,1.69E-38
NUP210,2.625009254,3.39E-07
ARHGAP25,2.624627478,1.92E-13
LOC107052090,2.623420641,0.037372902
BCL2L15,2.613151243,1.01E-05
IKZF1,2.612338668,3.56E-09
MMP13,2.612155768,0.009372488
LOC112529956,2.611419016,1.47E-06
LOC107049096,2.606959446,0.008242882
SAMD7,2.605883338,0.002881167
LOC107053480,2.60577947,0.000713502
LOC107054835,2.6052103,0.015883724
LOC101750184,2.601308461,0.005262577
GIMAP7L5,2.600025004,0.000410297
MIR223,2.599326664,0.004364525
C1QL2,2.596821351,4.19E-06
CCNJL,2.593364358,1.22E-07
BHLHE23,2.592903838,3.27E-05
SULT1B,2.591749287,2.93E-11
VH26L10,2.591259175,0.011930006
KCNAB2,2.584965789,2.24E-19
CD3D,2.584714413,1.12E-07
LY96,2.58462463,1.19E-07
CXADR,2.584035818,0.000551655
DYNLRB2,2.582410636,0.000427734
IL1R2,2.578087235,0.000741505
LOC101751662,2.575355384,0.037213477
XCL1,2.575193004,8.76E-05
PARVG,2.57358988,1.17E-11
ARHGAP45,2.573348542,2.84E-27
RCSD1,2.572841909,2.16E-11
S1PR4,2.56872606,6.24E-07
LACC1,2.564047461,0.000379379
ASB9,2.560507618,3.04E-20
PERM1,2.55900678,0.001679014
LOC101747982,2.557169447,0.000125283
CCLI7,2.554655931,0.000795419
PLCXD1,2.553935874,1.49E-08
ERBB3,2.55286146,0.009490015
HCLS1,2.550664522,9.26E-12
ARL8BL,2.547647942,1.62E-11
NBEAL2,2.54700047,2.34E-19
LOC107055058,2.546405365,0.000741505
GPRIN3,2.545864835,9.82E-14
IGSF3,2.541889652,9.83E-13
CES1L1,2.535807418,0.004291216
CD74,2.534533705,4.29E-14
LOC107051471,2.531406511,2.44E-13
NTNG1,2.530359355,5.07E-07
SYT8,2.529529381,0.000304508
